Episode 1/400 | Steps 1024 | Raw 0.0 | Shaped 102.40 | Eps 1.0000
Episode 2/400 | Steps 728 | Raw 0.0 | Shaped 72.80 | Eps 0.9961
Episode 3/400 | Steps 450 | Raw 0.0 | Shaped 45.00 | Eps 0.9933
Episode 4/400 | Steps 1569 | Raw 0.0 | Shaped 156.90 | Eps 0.9916
Episode 5/400 | Steps 457 | Raw 0.0 | Shaped 45.70 | Eps 0.9857
Episode 6/400 | Steps 510 | Raw 0.0 | Shaped 51.00 | Eps 0.9839
Episode 7/400 | Steps 478 | Raw 0.0 | Shaped 47.80 | Eps 0.9820
Episode 8/400 | Steps 740 | Raw 0.0 | Shaped 74.00 | Eps 0.9802
Episode 9/400 | Steps 748 | Raw 0.0 | Shaped 74.80 | Eps 0.9774
Episode 10/400 | Steps 581 | Raw 0.0 | Shaped 58.10 | Eps 0.9745
Eval ep 10: mean 1595.7 | [1852, 1605, 1330]
Episode 11/400 | Steps 561 | Raw 0.0 | Shaped 56.10 | Eps 0.9723
Episode 12/400 | Steps 463 | Raw 0.0 | Shaped 46.30 | Eps 0.9702
Episode 13/400 | Steps 495 | Raw 0.0 | Shaped 49.50 | Eps 0.9684
Episode 14/400 | Steps 455 | Raw 0.0 | Shaped 45.50 | Eps 0.9665
Episode 15/400 | Steps 836 | Raw 0.0 | Shaped 83.60 | Eps 0.9648
Episode 16/400 | Steps 1029 | Raw 0.0 | Shaped 102.90 | Eps 0.9616
Episode 17/400 | Steps 492 | Raw 0.0 | Shaped 49.20 | Eps 0.9577
Episode 18/400 | Steps 459 | Raw 0.0 | Shaped 45.90 | Eps 0.9559
Episode 19/400 | Steps 988 | Raw 0.0 | Shaped 98.80 | Eps 0.9541
Episode 20/400 | Steps 858 | Raw 0.0 | Shaped 85.80 | Eps 0.9504
Eval ep 20: mean 1373.7 | [2072, 1038, 1011]
Episode 21/400 | Steps 982 | Raw 0.0 | Shaped 98.20 | Eps 0.9471
Episode 22/400 | Steps 844 | Raw 0.0 | Shaped 84.40 | Eps 0.9434
Episode 23/400 | Steps 1367 | Raw 0.0 | Shaped 136.70 | Eps 0.9402
Episode 24/400 | Steps 730 | Raw 0.0 | Shaped 73.00 | Eps 0.9350
Episode 25/400 | Steps 684 | Raw 0.0 | Shaped 68.40 | Eps 0.9322
Episode 26/400 | Steps 1227 | Raw 0.0 | Shaped 122.70 | Eps 0.9296
Episode 27/400 | Steps 1074 | Raw 0.0 | Shaped 107.40 | Eps 0.9249
Episode 28/400 | Steps 485 | Raw 0.0 | Shaped 48.50 | Eps 0.9208
Episode 29/400 | Steps 949 | Raw 0.0 | Shaped 94.90 | Eps 0.9190
Episode 30/400 | Steps 457 | Raw 0.0 | Shaped 45.70 | Eps 0.9154
Eval ep 30: mean 1498.0 | [1323, 1323, 1848]
Episode 31/400 | Steps 1024 | Raw 0.0 | Shaped 102.40 | Eps 0.9137
